,breed,file,xmin,ymin,xmax,ymax,foldername,filename,dog_number,prepfilename,xdelta,ydelta
n02085620_10074,Chihuahua,n02085620_10074,25.0,10.0,276.0,498.0,02085620,n02085620_10074,1,n02085620_10074-Chihuahua_cr1,251.0,488.0
n02085620_10131,Chihuahua,n02085620_10131,49.0,9.0,393.0,493.0,02085620,n02085620_10131,1,n02085620_10131-Chihuahua_cr1,344.0,484.0
n02085620_10621,Chihuahua,n02085620_10621,142.0,43.0,335.0,250.0,02085620,n02085620_10621,1,n02085620_10621-Chihuahua_cr1,193.0,207.0
n02085620_1073,Chihuahua,n02085620_1073,0.0,27.0,312.0,498.0,02085620,n02085620_1073,1,n02085620_1073-Chihuahua_cr1,312.0,471.0
n02085620_10976,Chihuahua,n02085620_10976,90.0,104.0,242.0,452.0,02085620,n02085620_10976,1,n02085620_10976-Chihuahua_cr1,152.0,348.0
n02085620_11140,Chihuahua,n02085620_11140,17.0,38.0,451.0,253.0,02085620,n02085620_11140,1,n02085620_11140-Chihuahua_cr1,434.0,215.0
n02085620_11238,Chihuahua,n02085620_11238,39.0,191.0,145.0,383.0,02085620,n02085620_11238,1,n02085620_11238-Chihuahua_cr1,106.0,192.0
n02085620_11258,Chihuahua,n02085620_11258,76.0,30.0,363.0,375.0,02085620,n02085620_11258,1,n02085620_11258-Chihuahua_cr1,287.0,345.0
n02085620_11337,Chihuahua,n02085620_11337,59.0,37.0,229.0,179.0,02085620,n02085620_11337,1,n02085620_11337-Chihuahua_cr1,170.0,142.0
n02085620_11477,Chihuahua,n02085620_11477,317.0,95.0,558.0,459.0,02085620,n02085620_11477,1,n02085620_11477-Chihuahua_cr1,241.0,364.0
n02085620_1152,Chihuahua,n02085620_1152,391.0,111.0,437.0,167.0,02085620,n02085620_1152,3,n02085620_1152-Chihuahua_cr3,46.0,56.0
n02085620_11696,Chihuahua,n02085620_11696,211.0,0.0,696.0,516.0,02085620,n02085620_11696,1,n02085620_11696-Chihuahua_cr1,485.0,516.0
n02085620_11818,Chihuahua,n02085620_11818,121.0,90.0,302.0,343.0,02085620,n02085620_11818,1,n02085620_11818-Chihuahua_cr1,181.0,253.0
n02085620_11948,Chihuahua,n02085620_11948,0.0,16.0,461.0,436.0,02085620,n02085620_11948,1,n02085620_11948-Chihuahua_cr1,461.0,420.0
n02085620_1205,Chihuahua,n02085620_1205,146.0,0.0,350.0,239.0,02085620,n02085620_1205,1,n02085620_1205-Chihuahua_cr1,204.0,239.0
n02085620_12101,Chihuahua,n02085620_12101,5.0,4.0,350.0,252.0,02085620,n02085620_12101,1,n02085620_12101-Chihuahua_cr1,345.0,248.0
n02085620_12334,Chihuahua,n02085620_12334,159.0,186.0,250.0,330.0,02085620,n02085620_12334,1,n02085620_12334-Chihuahua_cr1,91.0,144.0
n02085620_1235,Chihuahua,n02085620_1235,194.0,111.0,275.0,299.0,02085620,n02085620_1235,1,n02085620_1235-Chihuahua_cr1,81.0,188.0
n02085620_1271,Chihuahua,n02085620_1271,19.0,3.0,324.0,350.0,02085620,n02085620_1271,1,n02085620_1271-Chihuahua_cr1,305.0,347.0
n02085620_12718,Chihuahua,n02085620_12718,26.0,42.0,304.0,487.0,02085620,n02085620_12718,1,n02085620_12718-Chihuahua_cr1,278.0,445.0
n02085620_1298,Chihuahua,n02085620_1298,151.0,94.0,438.0,230.0,02085620,n02085620_1298,1,n02085620_1298-Chihuahua_cr1,287.0,136.0
n02085620_13151,Chihuahua,n02085620_13151,176.0,29.0,379.0,333.0,02085620,n02085620_13151,1,n02085620_13151-Chihuahua_cr1,203.0,304.0
n02085620_1321,Chihuahua,n02085620_1321,111.0,42.0,248.0,314.0,02085620,n02085620_1321,1,n02085620_1321-Chihuahua_cr1,137.0,272.0
n02085620_13383,Chihuahua,n02085620_13383,156.0,242.0,334.0,498.0,02085620,n02085620_13383,1,n02085620_13383-Chihuahua_cr1,178.0,256.0
n02085620_1346,Chihuahua,n02085620_1346,1.0,8.0,432.0,316.0,02085620,n02085620_1346,1,n02085620_1346-Chihuahua_cr1,431.0,308.0
n02085620_13964,Chihuahua,n02085620_13964,96.0,133.0,373.0,495.0,02085620,n02085620_13964,1,n02085620_13964-Chihuahua_cr1,277.0,362.0
n02085620_14252,Chihuahua,n02085620_14252,166.0,110.0,346.0,248.0,02085620,n02085620_14252,1,n02085620_14252-Chihuahua_cr1,180.0,138.0
n02085620_14413,Chihuahua,n02085620_14413,142.0,123.0,546.0,850.0,02085620,n02085620_14413,1,n02085620_14413-Chihuahua_cr1,404.0,727.0
n02085620_14516,Chihuahua,n02085620_14516,51.0,2.0,487.0,478.0,02085620,n02085620_14516,1,n02085620_14516-Chihuahua_cr1,436.0,476.0
n02085620_1455,Chihuahua,n02085620_1455,60.0,153.0,331.0,498.0,02085620,n02085620_1455,1,n02085620_1455-Chihuahua_cr1,271.0,345.0
n02085620_1492,Chihuahua,n02085620_1492,58.0,143.0,190.0,332.0,02085620,n02085620_1492,1,n02085620_1492-Chihuahua_cr1,132.0,189.0
n02085620_1502,Chihuahua,n02085620_1502,51.0,13.0,418.0,331.0,02085620,n02085620_1502,1,n02085620_1502-Chihuahua_cr1,367.0,318.0
n02085620_1558,Chihuahua,n02085620_1558,0.0,6.0,327.0,493.0,02085620,n02085620_1558,1,n02085620_1558-Chihuahua_cr1,327.0,487.0
n02085620_1569,Chihuahua,n02085620_1569,24.0,10.0,277.0,273.0,02085620,n02085620_1569,1,n02085620_1569-Chihuahua_cr1,253.0,263.0
n02085620_1617,Chihuahua,n02085620_1617,2.0,6.0,356.0,237.0,02085620,n02085620_1617,1,n02085620_1617-Chihuahua_cr1,354.0,231.0
n02085620_1620,Chihuahua,n02085620_1620,25.0,0.0,465.0,374.0,02085620,n02085620_1620,1,n02085620_1620-Chihuahua_cr1,440.0,374.0
n02085620_1765,Chihuahua,n02085620_1765,55.0,85.0,327.0,437.0,02085620,n02085620_1765,1,n02085620_1765-Chihuahua_cr1,272.0,352.0
n02085620_1816,Chihuahua,n02085620_1816,0.0,14.0,225.0,325.0,02085620,n02085620_1816,1,n02085620_1816-Chihuahua_cr1,225.0,311.0
n02085620_1862,Chihuahua,n02085620_1862,152.0,107.0,228.0,247.0,02085620,n02085620_1862,1,n02085620_1862-Chihuahua_cr1,76.0,140.0
n02085620_1916,Chihuahua,n02085620_1916,8.0,7.0,456.0,397.0,02085620,n02085620_1916,1,n02085620_1916-Chihuahua_cr1,448.0,390.0
n02085620_199,Chihuahua,n02085620_199,65.0,50.0,249.0,404.0,02085620,n02085620_199,1,n02085620_199-Chihuahua_cr1,184.0,354.0
n02085620_2053,Chihuahua,n02085620_2053,176.0,73.0,441.0,366.0,02085620,n02085620_2053,1,n02085620_2053-Chihuahua_cr1,265.0,293.0
n02085620_2188,Chihuahua,n02085620_2188,46.0,98.0,327.0,498.0,02085620,n02085620_2188,1,n02085620_2188-Chihuahua_cr1,281.0,400.0
n02085620_2204,Chihuahua,n02085620_2204,189.0,107.0,263.0,212.0,02085620,n02085620_2204,2,n02085620_2204-Chihuahua_cr2,74.0,105.0
n02085620_2208,Chihuahua,n02085620_2208,178.0,144.0,231.0,249.0,02085620,n02085620_2208,1,n02085620_2208-Chihuahua_cr1,53.0,105.0
n02085620_242,Chihuahua,n02085620_242,113.0,45.0,368.0,486.0,02085620,n02085620_242,1,n02085620_242-Chihuahua_cr1,255.0,441.0
n02085620_2479,Chihuahua,n02085620_2479,40.0,16.0,260.0,239.0,02085620,n02085620_2479,1,n02085620_2479-Chihuahua_cr1,220.0,223.0
n02085620_2507,Chihuahua,n02085620_2507,79.0,35.0,324.0,322.0,02085620,n02085620_2507,1,n02085620_2507-Chihuahua_cr1,245.0,287.0
n02085620_2517,Chihuahua,n02085620_2517,125.0,26.0,372.0,314.0,02085620,n02085620_2517,1,n02085620_2517-Chihuahua_cr1,247.0,288.0
n02085620_2590,Chihuahua,n02085620_2590,201.0,88.0,417.0,239.0,02085620,n02085620_2590,1,n02085620_2590-Chihuahua_cr1,216.0,151.0
n02085620_2614,Chihuahua,n02085620_2614,123.0,2.0,305.0,374.0,02085620,n02085620_2614,1,n02085620_2614-Chihuahua_cr1,182.0,372.0
n02085620_2650,Chihuahua,n02085620_2650,108.0,87.0,405.0,303.0,02085620,n02085620_2650,1,n02085620_2650-Chihuahua_cr1,297.0,216.0
n02085620_2693,Chihuahua,n02085620_2693,188.0,140.0,325.0,307.0,02085620,n02085620_2693,1,n02085620_2693-Chihuahua_cr1,137.0,167.0
n02085620_2706,Chihuahua,n02085620_2706,105.0,39.0,229.0,217.0,02085620,n02085620_2706,1,n02085620_2706-Chihuahua_cr1,124.0,178.0
n02085620_275,Chihuahua,n02085620_275,179.0,53.0,326.0,191.0,02085620,n02085620_275,1,n02085620_275-Chihuahua_cr1,147.0,138.0
n02085620_2793,Chihuahua,n02085620_2793,23.0,0.0,351.0,287.0,02085620,n02085620_2793,1,n02085620_2793-Chihuahua_cr1,328.0,287.0
n02085620_2815,Chihuahua,n02085620_2815,60.0,6.0,495.0,597.0,02085620,n02085620_2815,1,n02085620_2815-Chihuahua_cr1,435.0,591.0
n02085620_2887,Chihuahua,n02085620_2887,16.0,23.0,289.0,355.0,02085620,n02085620_2887,1,n02085620_2887-Chihuahua_cr1,273.0,332.0
